 shot  ray#     dist   amplitude     phase  code
   -1   26    27.398   0.629E-01      0.00   2.2
   -1   27    27.560   0.646E-01      0.00   2.2
   -1   28    27.719   0.659E-01      0.00   2.2
   -1   29    27.878   0.669E-01      0.00   2.2
   -1   30    28.037   0.674E-01      0.00   2.2
   -1    1    24.392   0.101E-02      0.00   3.1
   -1    2    22.578   0.235E-02      0.00   3.1
   -1    3    21.794   0.403E-02      0.00   3.1
   -1    4    21.259   0.547E-02      0.00   3.1
   -1    5    20.716   0.657E-02      0.00   3.1
   -1    6    20.342   0.738E-02      0.00   3.1
   -1    7    19.960   0.798E-02      0.00   3.1
   -1    8    19.599   0.851E-02      0.00   3.1
   -1    9    19.311   0.900E-02      0.00   3.1
   -1   10    19.005   0.946E-02      0.00   3.1
   -1   11    18.707   0.991E-02      0.00   3.1
   -1   12    18.472   0.103E-01      0.00   3.1
   -1   13    18.228   0.106E-01      0.00   3.1
   -1   14    17.969   0.110E-01      0.00   3.1
   -1   15    17.743   0.113E-01      0.00   3.1
   -1   16    17.540   0.116E-01      0.00   3.1
   -1   17    17.331   0.119E-01      0.00   3.1
   -1   18    17.116   0.122E-01      0.00   3.1
   -1   19    16.919   0.125E-01      0.00   3.1
   -1   20    16.746   0.127E-01      0.00   3.1
   -1   21    16.566   0.129E-01      0.00   3.1
   -1   22    16.390   0.129E-01      0.00   3.1
   -1   23    16.205   0.129E-01      0.00   3.1
   -1   24    16.240   0.107E-01      0.00   3.1
   -1   25    16.008   0.108E-01      0.00   3.1
   -1   26    15.765   0.109E-01      0.00   3.1
   -1   27    15.541   0.110E-01      0.00   3.1
   -1   28    15.341   0.111E-01      0.00   3.1
   -1   29    15.134   0.111E-01      0.00   3.1
   -1   30    14.921   0.111E-01      0.00   3.1
   -1    1    15.749   0.192E-01    179.03   3.2
   -1    2    20.334   0.273E-01    165.53   3.2
   -1    3    21.550   0.401E-01    156.15   3.2
   -1    4    22.205   0.530E-01    146.82   3.2
   -1    5    22.703   0.632E-01    136.17   3.2
   -1    6    23.094   0.716E-01    123.57   3.2
   -1    7    23.422   0.794E-01    108.34   3.2
   -1    8    23.714   0.849E-01     89.09   3.2
   -1    9    23.976   0.829E-01     62.51   3.2
   -1   10    24.215   0.692E-01      0.00   3.2
   -1   11    24.432   0.489E-01      0.00   3.2
   -1   12    24.653   0.324E-01      0.00   3.2
   -1   13    24.851   0.238E-01      0.00   3.2
   -1   14    25.040   0.202E-01      0.00   3.2
   -1   15    25.221   0.187E-01      0.00   3.2
   -1   16    25.394   0.181E-01      0.00   3.2
   -1   17    25.562   0.182E-01      0.00   3.2
   -1   18    25.725   0.186E-01      0.00   3.2
   -1   19    25.883   0.192E-01      0.00   3.2
   -1   20    26.037   0.201E-01      0.00   3.2
   -1   21    26.188   0.210E-01      0.00   3.2
   -1   22    26.336   0.220E-01      0.00   3.2
   -1   23    26.481   0.231E-01      0.00   3.2
   -1   24    26.623   0.241E-01      0.00   3.2
   -1   25    26.764   0.251E-01      0.00   3.2
   -1   26    26.903   0.261E-01      0.00   3.2
   -1   27    27.040   0.270E-01      0.00   3.2
   -1   28    27.176   0.279E-01      0.00   3.2
   -1   29    27.311   0.286E-01      0.00   3.2
   -1   30    27.444   0.293E-01      0.00   3.2
   -1   31    27.577   0.297E-01      0.00   3.2
   -1   32    27.710   0.301E-01      0.00   3.2
   -1   33    27.841   0.317E-01      0.00   3.2
   -1   34    28.002   0.358E-01      0.00   3.2
   -1   35    28.082   0.401E-01      0.00   3.2
   -1    1    23.793   0.831E-03      0.00   4.1
   -1    2    21.698   0.130E-02      0.00   4.1
   -1    3    20.540   0.195E-02      0.00   4.1
   -1    4    19.563   0.256E-02      0.00   4.1
   -1    5    18.955   0.309E-02      0.00   4.1
   -1    6    18.266   0.354E-02      0.00   4.1
   -1    7    17.715   0.392E-02      0.00   4.1
   -1    8    17.203   0.423E-02      0.00   4.1
   -1    9    16.786   0.447E-02      0.00   4.1
   -1   10    16.441   0.464E-02      0.00   4.1
   -1   11    15.960   0.475E-02      0.00   4.1
   -1   12    15.591   0.483E-02      0.00   4.1
   -1   13    15.207   0.489E-02      0.00   4.1
   -1   14    14.809   0.494E-02      0.00   4.1
   -1   15    14.406   0.502E-02      0.00   4.1
   -1   16    14.067   0.511E-02      0.00   4.1
   -1   17    13.706   0.525E-02      0.00   4.1
   -1   18    13.277   0.543E-02      0.00   4.1
   -1   19    13.011   0.561E-02      0.00   4.1
   -1   20    12.734   0.577E-02      0.00   4.1
   -1   21    12.453   0.589E-02      0.00   4.1
   -1   22    12.163   0.598E-02      0.00   4.1
   -1   23    11.866   0.605E-02      0.00   4.1
   -1   24    11.618   0.611E-02      0.00   4.1
   -1   25    11.371   0.615E-02      0.00   4.1
   -1   26    11.119   0.615E-02      0.00   4.1
   -1   27    10.863   0.613E-02      0.00   4.1
   -1   28    10.600   0.611E-02      0.00   4.1
   -1   29    10.322   0.609E-02      0.00   4.1
   -1   30    10.082   0.608E-02      0.00   4.1
   -1    1    12.474   0.621E-02    176.09   4.2
   -1    2    13.054   0.644E-02    174.83   4.2
   -1    3    14.389   0.704E-02    171.93   4.2
   -1    4    15.644   0.825E-02    168.44   4.2
   -1    5    16.771   0.103E-01    164.43   4.2
   -1    6    17.537   0.132E-01    160.04   4.2
   -1    7    18.343   0.166E-01    155.13   4.2
   -1    8    19.040   0.200E-01    149.58   4.2
   -1    9    19.616   0.234E-01    143.36   4.2
   -1   10    20.139   0.267E-01    136.02   4.2
   -1   11    20.619   0.300E-01    127.25   4.2
   -1   12    21.061   0.336E-01    116.58   4.2
   -1   13    21.495   0.374E-01    103.24   4.2
   -1   14    21.873   0.405E-01     85.90   4.2
   -1   15    22.233   0.402E-01     61.59   4.2
   -1   16    22.574   0.341E-01      0.00   4.2
   -1   17    22.898   0.241E-01      0.00   4.2
   -1   18    23.204   0.155E-01      0.00   4.2
   -1   19    23.507   0.108E-01      0.00   4.2
   -1   20    23.822   0.869E-02      0.00   4.2
   -1   21    24.118   0.780E-02      0.00   4.2
   -1   22    24.411   0.753E-02      0.00   4.2
   -1   23    24.702   0.769E-02      0.00   4.2
   -1   24    24.991   0.813E-02      0.00   4.2
   -1   25    25.218   0.860E-02      0.00   4.2
