 shot  ray#     dist   amplitude     phase  code
    1    9     9.977   0.228E-01      0.00   6.1
    1   10    10.082   0.254E-01      0.00   6.1
    1   11    10.184   0.282E-01      0.00   6.1
    1   12    10.285   0.314E-01      0.00   6.1
    1   13    10.383   0.348E-01      0.00   6.1
    1   14    10.478   0.384E-01      0.00   6.1
    1   15    10.572   0.418E-01      0.00   6.1
    1   16    10.664   0.447E-01      0.00   6.1
    1   17    10.754   0.470E-01      0.00   6.1
    1   18    10.842   0.484E-01      0.00   6.1
    1   19    10.931   0.490E-01      0.00   6.1
    1    1    11.255   0.266E-01      0.00   7.1
    1    2    11.279   0.267E-01      0.00   7.1
    1    3    11.339   0.269E-01      0.00   7.1
    1    4    11.412   0.271E-01      0.00   7.1
    1    5    11.513   0.272E-01      0.00   7.1
    1    6    11.624   0.273E-01      0.00   7.1
    1    7    11.745   0.274E-01      0.00   7.1
    1    8    11.880   0.275E-01      0.00   7.1
    1    9    12.016   0.277E-01      0.00   7.1
    1   10    12.139   0.280E-01      0.00   7.1
    1   11    12.248   0.284E-01      0.00   7.1
    1   12    12.336   0.288E-01      0.00   7.1
    1   13    12.449   0.291E-01      0.00   7.1
    1   14    12.482   0.295E-01      0.00   7.1
    1   15    12.485   0.297E-01      0.00   7.1
    1   17    11.996   0.294E-01    156.29   7.2
    1   18    11.726   0.297E-01    144.05   7.2
    1   19    11.521   0.301E-01    135.23   7.2
    1    1     9.864   0.694E-02      0.00   8.1
    1    2     9.893   0.726E-02      0.00   8.1
    1    3     9.970   0.790E-02      0.00   8.1
    1    4    10.082   0.870E-02      0.00   8.1
    1    5    10.219   0.957E-02      0.00   8.1
    1    6    10.374   0.104E-01      0.00   8.1
    1    7    10.539   0.113E-01      0.00   8.1
    1    8    10.710   0.122E-01      0.00   8.1
    1    9    10.876   0.131E-01      0.00   8.1
    1   10    11.040   0.140E-01      0.00   8.1
    1   11    11.185   0.145E-01      0.00   8.1
    1   12    11.313   0.150E-01      0.00   8.1
    1   13    11.722   0.167E-01      0.00   8.1
    1   14    11.815   0.179E-01      0.00   8.1
    1   15    11.877   0.183E-01      0.00   8.1
    1   16    11.807   0.164E-01    180.00   8.2
    1   17    11.443   0.162E-01    180.00   8.2
    1   18    11.009   0.160E-01    180.00   8.2
    1   19    11.762   0.143E-01    180.00   8.2
    1   20    11.137   0.135E-01    180.00   8.2
    1    1     4.626   0.365E-03      0.00   9.1
    1    2     4.807   0.502E-03      0.00   9.1
    1    3     5.526   0.660E-03      0.00   9.1
    1    4     8.293   0.941E-03      0.00   9.1
    1    5    11.223   0.249E-02      0.00   9.1
    1    6    11.682   0.478E-02      0.00   9.1
    1    7    12.172   0.458E-02      0.00   9.1
    1    8    12.733   0.400E-02      0.00   9.1
    1    9    13.375   0.405E-02      0.00   9.1
    1   10    14.203   0.450E-02      0.00   9.1
    1   11    14.851   0.550E-02      0.00   9.1
    1   12    15.364   0.656E-02      0.00   9.1
    1   13    15.718   0.682E-02      0.00   9.1
    1   14    16.199   0.568E-02      0.00   9.1
    1   15    17.010   0.406E-02      0.00   9.1
    1   16    18.945   0.341E-02      0.00   9.1
    1   17    18.627   0.482E-02      0.00   9.1
    1   18    19.878   0.498E-02      0.00   9.1
    1   19    20.811   0.490E-02      0.00   9.1
    1   20    21.689   0.441E-02      0.00   9.1
    1    1     4.724   0.928E-03      0.00  10.1
    1    2     5.991   0.371E-02      0.00  10.1
    1    3     6.195   0.615E-02     90.00  10.1
    1    4     7.243   0.518E-02      0.00  10.1
    1    5     7.771   0.358E-02      0.00  10.1
    1    6     8.570   0.312E-02      0.00  10.1
    1    7     9.266   0.305E-02      0.00  10.1
    1    8    10.927   0.352E-02      0.00  10.1
    1    9    11.622   0.425E-02      0.00  10.1
    1   10    12.393   0.439E-02      0.00  10.1
    1   11    13.284   0.391E-02      0.00  10.1
    1   12    14.146   0.334E-02      0.00  10.1
    1   13    15.879   0.339E-02      0.00  10.1
    1   14    16.930   0.387E-02      0.00  10.1
    1   15    18.209   0.418E-02      0.00  10.1
    1   16    19.363   0.438E-02      0.00  10.1
    1   17    20.582   0.456E-02      0.00  10.1
    1   18    21.573   0.462E-02      0.00  10.1
    1   19    22.993   0.467E-02      0.00  10.1
    1   20    24.189   0.482E-02      0.00  10.1
    1    1    10.996   0.592E-04      0.00  11.1
    1    2    11.650   0.138E-03      0.00  11.1
    1    3    12.569   0.259E-03      0.00  11.1
    1    4    13.707   0.413E-03      0.00  11.1
    1    5    14.697   0.604E-03      0.00  11.1
    1    6    15.413   0.793E-03      0.00  11.1
    1    7    16.199   0.969E-03      0.00  11.1
    1    8    17.840   0.118E-02      0.00  11.1
    1    9    18.041   0.139E-02      0.00  11.1
    1   10    19.043   0.153E-02      0.00  11.1
    1   11    20.035   0.173E-02      0.00  11.1
    1   12    20.753   0.187E-02      0.00  11.1
    1   13    21.200   0.178E-02      0.00  11.1
    1   14    22.966   0.174E-02      0.00  11.1
    1   15    24.024   0.192E-02      0.00  11.1
    1   16    24.831   0.209E-02      0.00  11.1
    1   17    25.821   0.214E-02      0.00  11.1
    1   18    26.799   0.217E-02      0.00  11.1
    1   19    27.875   0.226E-02      0.00  11.1
    1   20    28.794   0.235E-02      0.00  11.1
    1    1    13.270   0.355E-04      0.00  12.1
    1    2    14.958   0.135E-03      0.00  12.1
    1    3    16.323   0.295E-03      0.00  12.1
    1    4    18.143   0.496E-03      0.00  12.1
    1    5    20.002   0.701E-03      0.00  12.1
    1    6    21.061   0.804E-03      0.00  12.1
    1    7    23.706   0.897E-03      0.00  12.1
    1    8    25.373   0.109E-02      0.00  12.1
    1    9    27.275   0.120E-02      0.00  12.1
    1   10    29.023   0.129E-02      0.00  12.1
    1   11    30.829   0.132E-02      0.00  12.1
    1   12    33.144   0.147E-02      0.00  12.1
    1   13    34.496   0.164E-02      0.00  12.1
    1   14    36.261   0.162E-02      0.00  12.1
    1   15    38.082   0.163E-02      0.00  12.1
    1   16    39.894   0.166E-02      0.00  12.1
    1    1    18.172   0.124E-04      0.00  13.1
    1    2    20.803   0.401E-04      0.00  13.1
    1    3    24.496   0.935E-04      0.00  13.1
    1    4    27.433   0.160E-03      0.00  13.1
    1    5    30.595   0.214E-03      0.00  13.1
    1    6    33.902   0.266E-03      0.00  13.1
    1    7    37.099   0.306E-03      0.00  13.1
