
dc between calculated and observed response: -421.141 mgal


 distance    obs   calc grav anom  diff
   -63.014     2.547    11.807     9.260
   -62.016     3.226    12.013     8.787
   -61.017     3.942    12.218     8.276
   -60.018     4.648    12.422     7.775
   -59.019     5.388    12.627     7.239
   -58.021     6.133    12.761     6.628
   -57.022     6.908    12.894     5.986
   -56.023     7.646    13.027     5.381
   -55.024     8.381    13.160     4.779
   -54.025     9.128    13.221     4.093
   -53.027     9.869    13.282     3.413
   -52.028    10.501    13.342     2.841
   -51.029    11.087    13.402     2.315
   -50.030    11.527    13.397     1.869
   -49.032    11.882    13.390     1.507
   -48.033    12.132    13.383     1.250
   -47.034    12.295    13.375     1.080
   -46.035    12.404    13.339     0.935
   -45.036    12.467    13.302     0.834
   -44.038    12.499    13.264     0.766
   -43.039    12.502    13.227     0.725
   -42.040    12.484    13.164     0.680
   -41.041    12.449    13.100     0.651
   -40.043    12.409    13.037     0.628
   -39.044    12.373    12.973     0.600
   -38.045    12.345    12.899     0.554
   -37.046    12.345    12.824     0.479
   -36.048    12.360    12.750     0.390
   -35.049    12.403    12.675     0.272
   -34.050    12.460    12.600     0.140
   -33.051    12.539    12.525    -0.014
   -32.052    12.628    12.450    -0.178
   -31.054    12.712    12.375    -0.338
   -30.055    12.788    12.295    -0.493
   -29.056    12.816    12.215    -0.600
   -28.057    12.834    12.136    -0.698
   -27.059    12.761    12.056    -0.705
   -26.060    12.669    11.965    -0.704
   -25.061    12.467    11.874    -0.593
   -24.062    12.234    11.782    -0.451
   -23.063    11.955    11.691    -0.264
   -22.065    11.649    11.577    -0.072
   -21.066    11.301    11.461     0.160
   -20.067    10.947    11.345     0.398
   -19.068    10.618    11.229     0.611
   -18.070    10.307    11.088     0.781
   -17.071    10.021    10.946     0.924
   -16.072     9.769    10.804     1.035
   -15.073     9.579    10.661     1.082
   -14.074     9.444    10.511     1.066
   -13.076     9.429    10.359     0.930
   -12.077     9.510    10.208     0.698
   -11.078     9.693    10.057     0.364
   -10.079     9.976     9.913    -0.063
    -9.081    10.308     9.770    -0.538
    -8.082    10.684     9.627    -1.058
    -7.083    11.056     9.484    -1.572
    -6.084    11.386     9.351    -2.036
