
dc between calculated and observed response: -429.618 mgal


 distance    obs   calc grav anom  diff
  -257.875    -5.929    -7.155    -1.226
  -256.878    -5.870    -6.999    -1.129
  -255.880    -5.815    -6.839    -1.025
  -254.882    -5.762    -6.654    -0.892
  -253.884    -5.714    -6.469    -0.755
  -252.887    -5.669    -6.284    -0.615
  -251.889    -5.660    -6.100    -0.440
  -250.891    -5.653    -5.924    -0.270
  -249.894    -5.649    -5.747    -0.098
  -248.896    -5.647    -5.571     0.076
  -247.898    -5.647    -5.397     0.250
  -246.901    -5.650    -5.250     0.400
  -245.903    -5.655    -5.103     0.552
  -244.905    -5.663    -4.955     0.708
  -243.908    -5.673    -4.813     0.860
  -242.910    -5.686    -4.713     0.972
  -241.912    -5.700    -4.614     1.086
  -240.915    -5.723    -4.515     1.208
  -239.917    -5.752    -4.421     1.332
  -238.919    -5.779    -4.372     1.407
  -237.922    -5.803    -4.324     1.479
  -236.924    -5.825    -4.276     1.549
  -235.926    -5.846    -4.231     1.615
  -234.928    -5.865    -4.223     1.642
  -233.931    -5.882    -4.216     1.667
  -232.933    -5.898    -4.208     1.690
  -231.935    -5.912    -4.202     1.711
  -230.938    -5.925    -4.213     1.713
  -229.940    -5.932    -4.224     1.709
  -228.942    -5.893    -4.235     1.658
  -227.945    -5.860    -4.246     1.614
  -226.947    -5.831    -4.251     1.580
  -225.949    -5.808    -4.257     1.552
  -224.952    -5.791    -4.262     1.528
  -223.954    -5.779    -4.267     1.512
  -222.956    -5.772    -4.251     1.521
  -221.959    -5.770    -4.235     1.536
  -220.961    -5.774    -4.219     1.555
  -219.963    -5.784    -4.202     1.581
  -218.966    -5.798    -4.167     1.631
  -217.968    -5.808    -4.133     1.675
  -216.970    -5.806    -4.098     1.708
  -215.973    -5.806    -4.063     1.743
  -214.975    -5.810    -4.027     1.782
  -213.977    -5.815    -3.992     1.823
  -212.979    -5.823    -3.956     1.867
  -211.982    -5.833    -3.921     1.913
  -210.984    -5.846    -3.892     1.954
  -209.986    -5.862    -3.864     1.998
  -208.989    -5.879    -3.835     2.044
  -207.991    -5.900    -3.807     2.093
  -206.993    -5.919    -3.825     2.094
  -205.996    -5.921    -3.843     2.078
  -204.998    -5.926    -3.861     2.065
  -204.000    -5.935    -3.879     2.055
  -203.003    -5.946    -3.977     1.969
  -202.005    -5.961    -4.074     1.887
  -201.007    -5.979    -4.171     1.808
  -200.010    -6.001    -4.269     1.732
  -199.012    -6.025    -4.405     1.620
  -198.014    -6.056    -4.541     1.516
  -197.017    -6.099    -4.677     1.422
  -196.019    -6.141    -4.813     1.328
  -195.021    -6.190    -4.946     1.244
  -194.023    -6.243    -5.078     1.165
  -193.026    -6.298    -5.211     1.087
  -192.028    -6.355    -5.343     1.012
  -191.030    -6.414    -5.439     0.976
  -190.033    -6.475    -5.533     0.942
  -189.035    -6.538    -5.628     0.910
  -188.037    -6.603    -5.722     0.881
  -187.040    -6.670    -5.779     0.891
  -186.042    -6.739    -5.834     0.905
  -185.044    -6.810    -5.890     0.920
  -184.047    -6.879    -5.945     0.934
  -183.049    -6.931    -5.999     0.933
  -182.051    -6.979    -6.052     0.927
  -181.054    -7.022    -6.105     0.917
  -180.056    -7.060    -6.158     0.901
  -179.058    -7.093    -6.224     0.869
  -178.061    -7.121    -6.290     0.830
  -177.063    -7.126    -6.357     0.769
  -176.065    -7.118    -6.423     0.695
  -175.067    -7.108    -6.468     0.640
  -174.070    -7.096    -6.511     0.585
  -173.072    -7.082    -6.554     0.528
  -172.074    -7.058    -6.597     0.461
  -171.077    -7.029    -6.601     0.428
  -170.079    -6.997    -6.601     0.396
  -169.081    -6.964    -6.602     0.362
  -168.084    -6.929    -6.602     0.326
  -167.086    -6.891    -6.595     0.296
  -166.088    -6.852    -6.588     0.264
  -165.091    -6.810    -6.580     0.230
  -164.093    -6.767    -6.572     0.194
  -163.095    -6.721    -6.590     0.131
  -162.098    -6.673    -6.611     0.063
  -161.100    -6.624    -6.631    -0.007
  -160.102    -6.574    -6.651    -0.077
  -159.105    -6.523    -6.687    -0.163
  -158.107    -6.471    -6.724    -0.252
  -157.109    -6.418    -6.761    -0.342
  -156.111    -6.398    -6.798    -0.400
  -155.114    -6.383    -6.840    -0.457
  -154.116    -6.374    -6.882    -0.508
  -153.118    -6.371    -6.925    -0.554
  -152.121    -6.375    -6.968    -0.593
  -151.123    -6.384    -7.014    -0.630
  -150.125    -6.399    -7.060    -0.661
  -149.126    -6.473    -7.107    -0.634
  -148.126    -6.571    -7.154    -0.582
  -147.126    -6.682    -7.202    -0.521
  -146.127    -6.805    -7.251    -0.447
  -145.127    -6.940    -7.301    -0.361
  -144.127    -7.088    -7.350    -0.262
  -143.128    -7.248    -7.372    -0.124
  -142.128    -7.420    -7.391     0.030
  -141.129    -7.605    -7.409     0.196
  -140.129    -7.820    -7.428     0.392
  -139.129    -8.063    -7.401     0.662
  -138.130    -8.322    -7.369     0.954
  -137.130    -8.596    -7.336     1.261
  -136.130    -8.886    -7.303     1.583
  -135.131    -9.186    -7.237     1.949
  -134.131    -9.494    -7.165     2.329
  -133.131    -9.813    -7.094     2.719
  -132.132   -10.142    -7.022     3.120
  -131.132   -10.481    -6.945     3.535
  -130.132   -10.829    -6.868     3.962
  -129.133   -11.188    -6.790     4.398
  -128.133   -11.557    -6.712     4.844
  -127.133   -11.935    -6.651     5.284
  -126.134   -12.302    -6.593     5.709
  -125.134   -12.603    -6.535     6.068
  -124.134   -12.907    -6.477     6.431
  -123.135   -13.214    -6.452     6.763
  -122.135   -13.524    -6.432     7.092
  -121.135   -13.755    -6.412     7.343
  -120.136   -13.962    -6.392     7.570
  -119.136   -14.165    -6.405     7.760
  -118.137   -14.363    -6.423     7.940
